2024-08-14 01:04:16,256 INFO    MainThread:239312 [wandb_setup.py:_flush():76] Current SDK version is 0.17.6
2024-08-14 01:04:16,257 INFO    MainThread:239312 [wandb_setup.py:_flush():76] Configure stats pid to 239312
2024-08-14 01:04:16,257 INFO    MainThread:239312 [wandb_setup.py:_flush():76] Loading settings from /home/aaderevyagin/.config/wandb/settings
2024-08-14 01:04:16,257 INFO    MainThread:239312 [wandb_setup.py:_flush():76] Loading settings from /home/aaderevyagin/airi_final/airi-screening-part-1/wandb/settings
2024-08-14 01:04:16,257 INFO    MainThread:239312 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-08-14 01:04:16,257 INFO    MainThread:239312 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-08-14 01:04:16,257 INFO    MainThread:239312 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'scripts/compare_arena.py', 'program_abspath': '/home/aaderevyagin/airi_final/airi-screening-part-1/scripts/compare_arena.py', 'program': '/home/aaderevyagin/airi_final/airi-screening-part-1/./scripts/compare_arena.py'}
2024-08-14 01:04:16,257 INFO    MainThread:239312 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-08-14 01:04:16,257 INFO    MainThread:239312 [wandb_init.py:_log_setup():521] Logging user logs to /home/aaderevyagin/airi_final/airi-screening-part-1/wandb/run-20240814_010416-cb475a43-44a4-4e3f-b0d5-40935dc9e32e/logs/debug.log
2024-08-14 01:04:16,257 INFO    MainThread:239312 [wandb_init.py:_log_setup():522] Logging internal logs to /home/aaderevyagin/airi_final/airi-screening-part-1/wandb/run-20240814_010416-cb475a43-44a4-4e3f-b0d5-40935dc9e32e/logs/debug-internal.log
2024-08-14 01:04:16,257 INFO    MainThread:239312 [wandb_init.py:init():559] calling init triggers
2024-08-14 01:04:16,257 INFO    MainThread:239312 [wandb_init.py:init():566] wandb.init called with sweep_config: {}
config: {'project': 'Final-run-bandits-uniform-v1', 'group': 'Test-Group', 'name': 'Random', 'baseline': 'UCB', 'baseline_checkpoint': None, 'checkpoints_dir': './checkpoints/bandits', 'test_tasks_filename': './data/bandits/test_tasks_uniform.hdf5', 'episode_size': 100, 'num_episodes': 10, 'discount': 0.99, 'eval_seed': 39, 'num_eval_seeds': 10, 'device': 'cuda'}
2024-08-14 01:04:16,257 INFO    MainThread:239312 [wandb_init.py:init():609] starting backend
2024-08-14 01:04:16,257 INFO    MainThread:239312 [wandb_init.py:init():613] setting up manager
2024-08-14 01:04:16,258 INFO    MainThread:239312 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-08-14 01:04:16,258 INFO    MainThread:239312 [wandb_init.py:init():621] backend started and connected
2024-08-14 01:04:16,259 INFO    MainThread:239312 [wandb_init.py:init():716] updated telemetry
2024-08-14 01:04:16,263 INFO    MainThread:239312 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2024-08-14 01:04:17,703 INFO    MainThread:239312 [wandb_run.py:_on_init():2438] communicating current version
2024-08-14 01:04:17,907 INFO    MainThread:239312 [wandb_run.py:_on_init():2447] got version response 
2024-08-14 01:04:17,907 INFO    MainThread:239312 [wandb_init.py:init():800] starting run threads in backend
2024-08-14 01:04:17,983 INFO    MainThread:239312 [wandb_run.py:_console_start():2416] atexit reg
2024-08-14 01:04:17,983 INFO    MainThread:239312 [wandb_run.py:_redirect():2258] redirect: wrap_raw
2024-08-14 01:04:17,983 INFO    MainThread:239312 [wandb_run.py:_redirect():2323] Wrapping output streams.
2024-08-14 01:04:17,983 INFO    MainThread:239312 [wandb_run.py:_redirect():2348] Redirects installed.
2024-08-14 01:04:17,984 INFO    MainThread:239312 [wandb_init.py:init():843] run started, returning control to user process
2024-08-14 01:04:17,998 INFO    MainThread:239312 [wandb_run.py:_finish():2110] finishing run komershan/Final-run-bandits-uniform-v1/cb475a43-44a4-4e3f-b0d5-40935dc9e32e
2024-08-14 01:04:17,998 INFO    MainThread:239312 [wandb_run.py:_atexit_cleanup():2377] got exitcode: 0
2024-08-14 01:04:17,998 INFO    MainThread:239312 [wandb_run.py:_restore():2355] restore
2024-08-14 01:04:17,998 INFO    MainThread:239312 [wandb_run.py:_restore():2361] restore done
2024-08-14 01:04:24,132 INFO    MainThread:239312 [wandb_run.py:_footer_history_summary_info():4035] rendering history
2024-08-14 01:04:24,132 INFO    MainThread:239312 [wandb_run.py:_footer_history_summary_info():4067] rendering summary
2024-08-14 01:04:24,135 INFO    MainThread:239312 [wandb_run.py:_footer_sync_info():3994] logging synced files
