2024-08-15 05:55:15,890 INFO    StreamThr :15162 [internal.py:wandb_internal():85] W&B internal server running at pid: 15162, started at: 2024-08-15 05:55:15.890044
2024-08-15 05:55:15,891 DEBUG   HandlerThread:15162 [handler.py:handle_request():158] handle_request: status
2024-08-15 05:55:15,892 INFO    WriterThread:15162 [datastore.py:open_for_write():87] open: /home/aaderevyagin/airi_final/airi-screening-part-1/wandb/run-20240815_055515-03b4b189-ee5c-4748-b4b3-7621153e9921/run-03b4b189-ee5c-4748-b4b3-7621153e9921.wandb
2024-08-15 05:55:15,892 DEBUG   SenderThread:15162 [sender.py:send():391] send: header
2024-08-15 05:55:15,892 DEBUG   SenderThread:15162 [sender.py:send():391] send: run
2024-08-15 05:55:16,548 INFO    SenderThread:15162 [dir_watcher.py:__init__():211] watching files in: /home/aaderevyagin/airi_final/airi-screening-part-1/wandb/run-20240815_055515-03b4b189-ee5c-4748-b4b3-7621153e9921/files
2024-08-15 05:55:16,548 INFO    SenderThread:15162 [sender.py:_start_run_threads():1200] run started: 03b4b189-ee5c-4748-b4b3-7621153e9921 with start time 1723690515.133477
2024-08-15 05:55:16,553 DEBUG   HandlerThread:15162 [handler.py:handle_request():158] handle_request: check_version
2024-08-15 05:55:16,553 DEBUG   SenderThread:15162 [sender.py:send_request():418] send_request: check_version
2024-08-15 05:55:17,168 DEBUG   HandlerThread:15162 [handler.py:handle_request():158] handle_request: run_start
2024-08-15 05:55:17,168 DEBUG   HandlerThread:15162 [system_info.py:__init__():26] System info init
2024-08-15 05:55:17,168 DEBUG   HandlerThread:15162 [system_info.py:__init__():41] System info init done
2024-08-15 05:55:17,169 INFO    HandlerThread:15162 [system_monitor.py:start():194] Starting system monitor
2024-08-15 05:55:17,169 INFO    SystemMonitor:15162 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-08-15 05:55:17,169 INFO    HandlerThread:15162 [system_monitor.py:probe():214] Collecting system info
2024-08-15 05:55:17,169 INFO    SystemMonitor:15162 [interfaces.py:start():188] Started cpu monitoring
2024-08-15 05:55:17,170 INFO    SystemMonitor:15162 [interfaces.py:start():188] Started disk monitoring
2024-08-15 05:55:17,170 INFO    SystemMonitor:15162 [interfaces.py:start():188] Started gpu monitoring
