2024-08-15 06:01:12,258 INFO    StreamThr :16815 [internal.py:wandb_internal():85] W&B internal server running at pid: 16815, started at: 2024-08-15 06:01:12.258150
2024-08-15 06:01:12,260 DEBUG   HandlerThread:16815 [handler.py:handle_request():158] handle_request: status
2024-08-15 06:01:12,260 INFO    WriterThread:16815 [datastore.py:open_for_write():87] open: /home/aaderevyagin/airi_final/airi-screening-part-1/wandb/run-20240815_060111-2c654f61-c253-4419-8360-4fee456ce6fd/run-2c654f61-c253-4419-8360-4fee456ce6fd.wandb
2024-08-15 06:01:12,260 DEBUG   SenderThread:16815 [sender.py:send():391] send: header
2024-08-15 06:01:12,261 DEBUG   SenderThread:16815 [sender.py:send():391] send: run
2024-08-15 06:01:12,827 INFO    SenderThread:16815 [dir_watcher.py:__init__():211] watching files in: /home/aaderevyagin/airi_final/airi-screening-part-1/wandb/run-20240815_060111-2c654f61-c253-4419-8360-4fee456ce6fd/files
2024-08-15 06:01:12,827 INFO    SenderThread:16815 [sender.py:_start_run_threads():1200] run started: 2c654f61-c253-4419-8360-4fee456ce6fd with start time 1723690871.467317
2024-08-15 06:01:12,832 DEBUG   HandlerThread:16815 [handler.py:handle_request():158] handle_request: check_version
2024-08-15 06:01:12,833 DEBUG   SenderThread:16815 [sender.py:send_request():418] send_request: check_version
2024-08-15 06:01:13,062 DEBUG   HandlerThread:16815 [handler.py:handle_request():158] handle_request: run_start
2024-08-15 06:01:13,063 DEBUG   HandlerThread:16815 [system_info.py:__init__():26] System info init
2024-08-15 06:01:13,063 DEBUG   HandlerThread:16815 [system_info.py:__init__():41] System info init done
2024-08-15 06:01:13,063 INFO    HandlerThread:16815 [system_monitor.py:start():194] Starting system monitor
2024-08-15 06:01:13,063 INFO    SystemMonitor:16815 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-08-15 06:01:13,063 INFO    HandlerThread:16815 [system_monitor.py:probe():214] Collecting system info
2024-08-15 06:01:13,064 INFO    SystemMonitor:16815 [interfaces.py:start():188] Started cpu monitoring
2024-08-15 06:01:13,064 INFO    SystemMonitor:16815 [interfaces.py:start():188] Started disk monitoring
2024-08-15 06:01:13,064 INFO    SystemMonitor:16815 [interfaces.py:start():188] Started gpu monitoring
2024-08-15 06:01:13,065 INFO    SystemMonitor:16815 [interfaces.py:start():188] Started memory monitoring
2024-08-15 06:01:13,065 INFO    SystemMonitor:16815 [interfaces.py:start():188] Started network monitoring
2024-08-15 06:01:13,072 DEBUG   HandlerThread:16815 [system_info.py:probe():152] Probing system
2024-08-15 06:01:13,072 DEBUG   HandlerThread:16815 [system_info.py:_probe_git():137] Probing git
2024-08-15 06:01:13,078 DEBUG   HandlerThread:16815 [system_info.py:_probe_git():145] Probing git done
2024-08-15 06:01:13,078 DEBUG   HandlerThread:16815 [system_info.py:probe():200] Probing system done
2024-08-15 06:01:13,078 DEBUG   HandlerThread:16815 [system_monitor.py:probe():223] {'os': 'Linux-6.5.0-45-generic-x86_64-with-glibc2.35', 'python': '3.10.12', 'heartbeatAt': '2024-08-15T03:01:13.072594', 'startedAt': '2024-08-15T03:01:11.464902', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': '/home/aaderevyagin/airi_final/airi-screening-part-1/./scripts/compare_arena.py', 'codePathLocal': 'scripts/compare_arena.py', 'codePath': 'scripts/compare_arena.py', 'git': {'remote': 'git@github.com:Komershan/airi-screening-part-1.git', 'commit': '6f26fc62997c0c9594e668d7836b807c69839d07'}, 'email': 'derevyagin102@mail.ru', 'root': '/home/aaderevyagin/airi_final/airi-screening-part-1', 'host': 'aaderevyagin-OMEN-by-HP-Laptop-16-c0xxx', 'username': 'aaderevyagin', 'executable': '/home/aaderevyagin/airi_final/venv/bin/python3', 'cpu_count': 8, 'cpu_count_logical': 16, 'cpu_freq': {'current': 3224.0736875000002, 'min': 400.0, 'max': 4463.0}, 'cpu_freq_per_core': [{'current': 3494.969, 'min': 400.0, 'max': 4463.0}, {'current': 4369.63, 'min': 400.0, 'max': 4463.0}, {'current': 3575.947, 'min': 400.0, 'max': 4463.0}, {'current': 2840.288, 'min': 400.0, 'max': 4463.0}, {'current': 3342.698, 'min': 400.0, 'max': 4463.0}, {'current': 400.0, 'min': 400.0, 'max': 4463.0}, {'current': 3936.567, 'min': 400.0, 'max': 4463.0}, {'current': 3786.375, 'min': 400.0, 'max': 4463.0}, {'current': 4347.699, 'min': 400.0, 'max': 4463.0}, {'current': 400.0, 'min': 400.0, 'max': 4463.0}, {'current': 3840.638, 'min': 400.0, 'max': 4463.0}, {'current': 3817.864, 'min': 400.0, 'max': 4463.0}, {'current': 3815.468, 'min': 400.0, 'max': 4463.0}, {'current': 400.0, 'min': 400.0, 'max': 4463.0}, {'current': 2370.869, 'min': 400.0, 'max': 4463.0}, {'current': 4377.067, 'min': 400.0, 'max': 4463.0}], 'disk': {'/': {'total': 937.3305015563965, 'used': 227.40789031982422}}, 'gpu': 'NVIDIA GeForce RTX 3070 Laptop GPU', 'gpu_count': 1, 'gpu_devices': [{'name': 'NVIDIA GeForce RTX 3070 Laptop GPU', 'memory_total': 8589934592}], 'memory': {'total': 14.962711334228516}}
2024-08-15 06:01:13,078 INFO    HandlerThread:16815 [system_monitor.py:probe():224] Finished collecting system info
2024-08-15 06:01:13,078 INFO    HandlerThread:16815 [system_monitor.py:probe():227] Publishing system info
2024-08-15 06:01:13,078 INFO    HandlerThread:16815 [system_monitor.py:probe():229] Finished publishing system info
2024-08-15 06:01:13,078 DEBUG   SenderThread:16815 [sender.py:send():391] send: files
2024-08-15 06:01:13,078 INFO    SenderThread:16815 [sender.py:_save_file():1466] saving file wandb-metadata.json with policy now
2024-08-15 06:01:13,114 DEBUG   HandlerThread:16815 [handler.py:handle_request():158] handle_request: python_packages
2024-08-15 06:01:13,114 DEBUG   SenderThread:16815 [sender.py:send_request():418] send_request: python_packages
2024-08-15 06:01:13,156 DEBUG   HandlerThread:16815 [handler.py:handle_request():158] handle_request: stop_status
2024-08-15 06:01:13,156 DEBUG   HandlerThread:16815 [handler.py:handle_request():158] handle_request: internal_messages
2024-08-15 06:01:13,158 DEBUG   SenderThread:16815 [sender.py:send_request():418] send_request: stop_status
2024-08-15 06:01:13,506 DEBUG   SenderThread:16815 [sender.py:send():391] send: telemetry
2024-08-15 06:01:13,506 DEBUG   SenderThread:16815 [sender.py:send():391] send: telemetry
2024-08-15 06:01:13,507 DEBUG   SenderThread:16815 [sender.py:send():391] send: exit
2024-08-15 06:01:13,507 INFO    SenderThread:16815 [sender.py:send_exit():598] handling exit code: 1
2024-08-15 06:01:13,508 INFO    SenderThread:16815 [sender.py:send_exit():600] handling runtime: 0
2024-08-15 06:01:13,508 INFO    SenderThread:16815 [sender.py:_save_file():1466] saving file wandb-summary.json with policy end
2024-08-15 06:01:13,508 INFO    SenderThread:16815 [sender.py:send_exit():606] send defer
2024-08-15 06:01:13,508 DEBUG   HandlerThread:16815 [handler.py:handle_request():158] handle_request: defer
2024-08-15 06:01:13,508 INFO    HandlerThread:16815 [handler.py:handle_request_defer():184] handle defer: 0
2024-08-15 06:01:13,508 DEBUG   SenderThread:16815 [sender.py:send_request():418] send_request: defer
2024-08-15 06:01:13,508 INFO    SenderThread:16815 [sender.py:send_request_defer():622] handle sender defer: 0
2024-08-15 06:01:13,508 INFO    SenderThread:16815 [sender.py:transition_state():626] send defer: 1
2024-08-15 06:01:13,508 DEBUG   HandlerThread:16815 [handler.py:handle_request():158] handle_request: defer
2024-08-15 06:01:13,508 INFO    HandlerThread:16815 [handler.py:handle_request_defer():184] handle defer: 1
2024-08-15 06:01:13,509 DEBUG   SenderThread:16815 [sender.py:send_request():418] send_request: defer
2024-08-15 06:01:13,509 INFO    SenderThread:16815 [sender.py:send_request_defer():622] handle sender defer: 1
2024-08-15 06:01:13,509 INFO    SenderThread:16815 [sender.py:transition_state():626] send defer: 2
